Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Kratz, Johann Conrad;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;6;;Depated from the country;;Na;;Na;
Kraus, Johann Hieronymus;;Karlsruhe Baden-Durlach;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,004343;;8,411935;
Kraut, Christopher;;Grosssachsen Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,512916;;8,662380;
Kriegbaum, Johann Georg;;Bensheim Erbach Hessen;1760;;Lutheran;;Married ;;2;;Remained in Denmark ;;49,657067;;8,999074;
Krämer, Andreas ;;Bodigheim ;1760;;Lutheran;;Married ;;3;;Died in Denmark ;;48,160452;;10,470102;
Krüger, Johann Friderich;;Schwaben;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;48,160452;;10,470102;
Kumbler, Adam ;;Kurpfalz;1760;;Catholic ;;Not mentioned ;;1;;Depated from the country;;49,408914;;8,107543;
Kumbler, Christian ;;Erbach Hessen;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,657067;;8,999074;
Kunsmann, Johann;;Weinheim Kurpfalz ;1760;;Reformed ;;Not mentioned ;;4;;Depated from the country;;49,541936;;8,665821;
Kunsmann, Philip;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Kämpf, Johannes ;;Kurpfalz;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,408914;;8,107543;
Kärber, Johann Georg;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,657067;;8,999074;
Küch, Hendrich;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;0;;Remained in Denmark ;;Na;;Na;
Laier, Johan Georg Adam;;Altneudorf Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,465564;;8,802861;
Lang, Johann Philip;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;4;;Depated from the country;;49,657067;;8,999074;
Laut, Johann Balthazar ;;Erbach Hessen;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,657067;;8,999074;
Leyer, Georg ;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;4;;Travelpas to Russia ;;49,408914;;8,107543;
Lutz, Johann Adam;;Kurpfalz;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Lutz, Johann Georg;;Käfertal Kurpfalz;1760;;Lutheran;;Married ;;1;;Depated from the country;;49,512068;;8,516118;
Lutz, Johann Michael;;Ansbach;1760;;Lutheran;;Married ;;5;;Travelpas to Russia ;;49,297576;;10,569725;
Marchdaler, Johann Jacob;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;1;;AWOL;;49,657067;;8,999074;
Maequard, Peter;;Erbach Hessen;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,657067;;8,999074;
Maul, Andreas;;Hessen-Darmstadt;1760;;Lutheran;;Not mentioned ;;5;;Depated from the country;;49,865108;;8,653898;
Maul, Johann Georg;;Darmstadt;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
Maul, Johann Philip;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;4;;Remained in Denmark ;;49,865108;;8,653898;
Maul, Philip Ludvig;;Darmstadt;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
May, Marcus;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;7;;Remained in Denmark ;;49,476097;;8,660093;
May, Sebatian ;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,476097;;8,660093;
Meyer, Johann Georg;;Staffort Durlach;1760;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,091374;;8,510941;
Meyer, Johann Georg;;Rodenstein Kurpfalz;1760;;Lutheran;;Married ;;1;;Depated from the country;;Na;;Na;
Meyer, Johann Leonhard;;Kurpfalz;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Meyer, Johann Michael;;Kurpfalz;1760;;Reformed ;;Married ;;3;;Remained in Denmark ;;49,408914;;8,107543;
Meyer, Martin;;Not mentioned ;1760;;Not mentioned ;;Not mentioned ;;2;;Depated from the country;;Na;;Na;
Moratz, Johann Philip;;Schriesheim Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,476097;;8,660093;
Müller, Heinrich;;Isenberg Wüttemberg;1756;;Reformed ;;Married ;;3;;Remained in Denmark ;;Na;;Na;
Müller, Jacob;;Odenwald Kurpfalz ;1760;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,590724;;9,007928;
Müller, Johann Adam ;;Hessen-Darmstadt;1760;;Lutheran;;Not mentioned ;;4;;Depated from the country;;49,865108;;8,653898;
Müller, Johann Georg;;Not mentioned ;1760;;Reformed ;;Married ;;3;;Depated from the country;;Na;;Na;
Münster, Conrad;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,865108;;8,653898;
Mägen, Traugott Gottfried ;;Reutlingen;1761;;Lutheran;;Not mentioned ;;4;;Depated from the country;;48,506022;;9,203937;
Märcher, Johann Michael;;Bodigheim Schwaben;1760;;Reformed ;;Married ;;3;;Remained in Denmark ;;48,160452;;10,470102;
Möll, Johannes;;Dossenheim Kurpflaz ;1759;;Reformed ;;Married ;;1;;Depated from the country;;49,447665;;8,673478;
Möninger, Georg;;Gemminger County Kurpfalz;1760;;Lutheran;;Married ;;3;;Depated from the country;;49,153070;;8,980860;
Neuberger, Heinrich;;Neulossheim Speyer;1761;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,290851;;8,518989;
Neübauer, Johann Adam;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;3;;Depated from the country;;49,408914;;8,107543;
Nielson, Johannes ;;Bammental Kurpfalz ;1760;;Reformed ;;Married ;;0;;Travelpas to Russia ;;49,352442;;8,777502;
Nielson, Paul;;Bammental Kurpfalz ;1760;;Reformed ;;Not mentioned ;;2;;Died in Denmark ;;49,352442;;8,777502;
Oswald, Tobias;;Hungary;1764;;Lutheran;;Married ;;0;;Remained in Denmark ;;47,490408;;19,045151;
Pauli, Anton;;Leutershausen Kurpfalz ;1760;;Reformed ;;Not mentioned ;;2;;Went to Russia ;;49,297737;;10,408676;
Petri, Jacob;;Not mentioned ;1760;;Reformed ;;Married ;;1;;Depated from the country;;Na;;Na;
Pfarr, Johannes ;;Kurpfalz;1763;;Reformed ;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Pflamer, Johann Siegmund;;Württemberg;1761;;Lutheran;;Married ;;2;;Depated from the country;;48,767863;;9,227412;
Pheifer, Johann Andreas;;Welsch Neurath Baden-Durlach ;1760;;Not mentioned ;;Married ;;1;;Depated from the country;;49,004343;;8,411935;
Philbert, Johann Nicolay;;Gronau Erbach Hessen;1759;;Lutheran;;Unmarried ;;8;;Depated from the country;;49,657067;;8,999074;
Philbert, Johann Peter;;Gronau Erbach Hessen;1759;;Lutheran;;Married ;;0;;Died in Denmark ;;49,657067;;8,999074;
Philbert, Johann Philip;;Gronau Erbach Hessen;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,657067;;8,999074;
Pletzer, Adam ;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Travelpas to Russia ;;49,408914;;8,107543;
Raub, Martin;;Not mentioned ;1761;;Lutheran;;Married ;;0;;Depated from the country;;Na;;Na;
Raue, Johann Christopher;;Leutershausen Kurpfalz ;1759;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,297737;;10,408676;
Raut. Johann Philip;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,827757;;8,843913;
Rautibusch, Philip;;Dilsberg Kurpfalz;1760;;Reformed ;;Married ;;2;;AWOL;;49,391414;;8,841658;
Reeder, Johann Georg;;Misbach, Lichtenberg Hessen-Darmstadt;1760;;Lutheran;;Married ;;5;;Travelpas to Russia ;;49,770766;;8,803810;
Regeling, Frantz Eberhardt;;Not mentioned ;1760;;Not mentioned ;;Married ;;3;;Depated from the country;;Na;;Na;
Reh, Johann Nicolaus;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;5;;Depated from the country;;49,657067;;8,999074;
Reis, Wilhelm;;Mannheim Kurpfalz;1761;;Reformed ;;Married ;;3;;Depated from the country;;49,483007;;8,467735;
Rettig, Andreas;;Erbach Hessen;1760;;Lutheran;;Married ;;6;;Travelpas to Russia ;;49,657067;;8,999074;
Retzel, Johann Conrad;;Darmstadt;1760;;Lutheran;;Unmarried ;;0;;AWOL;;49,865108;;8,653898;
Reüter, Georg;;Brüchheuser Hof Keurpfalz;1759;;Reformed ;;Married ;;0;;Depated from the country;;Na;;Na;
Ritmann, Johann Georg;;Staffort Wüttemberg;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,091374;;8,510941;
Ritter, Conrad;;Ladenburg Kurpflaz;1759;;Reformed ;;Married ;;0;;Depated from the country;;49,470343;;8,610167;
Ritter, Martin;;Principality Ansbach;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49.297.576;;10,569725;
Rost, Johannes;;Kurpfalz;1760;;Lutheran;;Married ;;1;;Remained in Denmark ;;49,408914;;8,107543;
Roth, Johann Adam;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,827757;;8,843913;
Roth, Johann Michael;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Rothermel, Johann Georg senior;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;6;;Depated from the country;;49,408914;;8,107543;
Rothermel, Johann Georg junior;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,408914;;8,107543;
Rudi, Conrad;;Venninger County Canton Greichau;1760;;Reformed ;;Married ;;1;;Depated from the country;;Na;;Na;
Rupertus, Georg;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Rupertus, Stephan;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;0;;Depated from the country;;49,476097;;8,660093;
Rübe, Friderich;;Darmstadt;1760;;Lutheran;;Not mentioned ;;1;;Died in Denmark ;;49,865108;;8,653898;
Rübe, Johann Adam;;Darmstadt;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
Sander, Gotfried;;Frankfurt am Main;1761;;Not mentioned ;;Not mentioned ;;0;;Depated from the country;;50,100431;;8,676382;
Sauerbrey, Johann Jacob;;Württemberg;1760;;Lutheran;;Not mentioned ;;6;;Travelpas to Russia ;;48,767863;;9,227412;
Schade, Johann Georg;;Not mentioned ;1756;;Lutheran;;Married ;;3;;Died in Denmark ;;Na;;Na;
Scharff, Johann Georg ;;Not mentioned ;1756;;Lutheran;;Not mentioned ;;3;;Depated from the country;;Na;;Na;
Schelhaas, Johann Henrich;;Rodau Hessen-Darmstadt ;1760;;Lutheran;;Unmarried ;;0;;Depated from the country;;50,065888;;8,882929;
Scjilling, Augustinus;;Württemberg;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;48,767863;;9,227412;
Schilling, Georg Michael;;Württemberg;1760;;Lutheran;;Married ;;4;;Remained in Denmark ;;48,767863;;9,227412;
Schilling, Jacob ;;Württemberg;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;48,767863;;9,227412;
Schilling, Johannes;;Württemberg;1761;;Lutheran;;Married ;;6;;Depated from the country;;48,767863;;9,227412;
Schläfer, Johann Ulrich;;Württemberg;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;48,767863;;9,227412;
Schmidt, Andreas;;Erbach Hessen;1760;;Catholic ;;Not mentioned ;;4;;Depated from the country;;49,657067;;8,999074;
Schmidt, Jacob;;Ober Flochenbach Kurpfalz ;1759;;Reformed ;;Married ;;3;;Travelpas to Russia ;;49,508910;;8,731091;
Schmidt, Johann Adam;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;1;;Travelpas to Russia ;;49,408914;;8,107543;
Schmidt, Johann Georg;;Erbach Hessen;1761;;Catholic ;;Married ;;0;;AWOL;;49,657067;;8,999074;
Schmidt, Johann Hendrich;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,657067;;8,999074;
Schmidt, Johannes ;;Kurpfalz;1760;;Reformed ;;Married ;;3;;Travelpas to Russia ;;49,408914;;8,107543;
Schmidt, Silvester;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,657067;;8,999074;
Schmidt, Valentin;;Heddesheim Kurpfalz;1760;;Reformed ;;Not mentioned ;;3;;Travelpas to Russia ;;49,518891;;8,615090;
Schmunck, Johann Georg;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;2;;Travelpas to Russia ;;49,827757;;8,843913;
Schmunck, Johann Hendrich;;Rodau, Lichtenberg Hessen-Darmstadt ;1760;;Lutheran;;Unmarried ;;0;;Depated from the country;;49,770766;;8,803810;
Schneider, Johann Leonhard;;Bruchhausen Kurpfalz;1759;;Lutheran;;Married ;;1;;Died in Denmark ;;51,319231;;8,530079;
Schremser, Georg;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Schubach, Philip;;Heddesheim Kurpfalz;1760;;Reformed ;;Married ;;2;;Depated from the country;;49,518891;;8,615090;
Schue, Gerhard;;Kurpfalz;1760;;Lutheran;;Married ;;1;;Travelpas to Russia ;;49,408914;;8,107543;
Schukrafft, Johann Georg;;Dilsberg Kurpfalz;1760;;Catholic ;;Married ;;1;;Remained in Denmark ;;49,391414;;8,841658;
Schultz, Joachim;;Not mentioned ;1761;;Not mentioned ;;Unmarried ;;0;;Depated from the country;;Na;;Na;
Schulz, Gabriel;;Prussian Poland;1761;;Lutheran;;Married ;;3;;Travelpas to Russia ;;52,227417;;21,013805;
Schwan, Wendel;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;0;;AWOL;;49,476097;;8,660093;
Schwartz, Christian;;Bretten Kurpfalz;1760;;Lutheran;;Not mentioned ;;3;;Travelpas to Russia ;;49,041365;;8,71084;
Schwartz, Frantz;;Not mentioned ;1760;;Catholic ;;Married ;;0;;Remained in Denmark ;;Na;;Na;
Schweckheimer, Johann Marcus;;Württemberg;1760;;Lutheran;;Married ;;4;;Travelpas to Russia ;;48,767863;;9,227412;
Schweitzer, Georg;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
Schäffer, Christian ;;Not mentioned ;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Schäffer, Johann Friderich ;;Wembach Hessen-Darmstadt;1760;;Catholic ;;Married ;;0;;Travelpas to Russia ;;49,827757;;8,843913;
Schäffer, Johann Nicolai;;Wembach Hessen-Darmstadt;1760;;Catholic ;;Married ;;1;;Travelpas to Russia ;;49,827757;;8,843913;
Schürtz, Johann Martin;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;2;;Depated from the country;;49,408914;;8,107543;
Schönheiter, Johann Leonhard ;;Erbach Hessen;1760;;Lutheran;;Married ;;3;;Remained in Denmark ;;49,657067;;8,999074;
Schönleben, Johann Michael;;Wien;1760;;Lutheran;;Married ;;3;;Died in Denmark ;;48,200924;;16,388979;
Seckinger, Johann Michael;;Odenwald ;1761;;Reformed ;;Married ;;0;;Depated from the country;;49,590727;;9,007928;
Seuffert, Christian;;Not mentioned ;1762;;Not mentioned ;;Married ;;1;;Depated from the country;;Na;;Na;
Seydenmeyer, Georg;;Odenwald ;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,590724;;9,007928;
Spatz, Wilhelm;;Wertheim;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,757401;;9,513925;
Spengel, Samuel;;Württemberg;1760;;Lutheran;;Married ;;0;;Depated from the country;;48,767863;;9,227412;
Stahl, Friderich;;Not mentioned ;1760;;Catholic ;;Not mentioned ;;1;;Depated from the country;;Na;;Na;
Stahl, Martin;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;1;;Depated from the country;;49,408914;;8,107543;
Stame, Martin ;;Burkheim Kurpfalz;1760;;Reformed ;;Married ;;0;;AWOL;;Na;;Na;
Stautz, Johann Dietrich;;Wimpen am Berg Canton Greichau;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Staye, Johann Christopher;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,408914;;8,107543;
Steimle, Johann Michael;;Not mentioned ;1760;;Not mentioned ;;Married ;;1;;Depated from the country;;Na;;Na;
Stengen, Johann Christopher ;;Godelau Hessen;1760;;Lutheran;;Married ;;2;;Depated from the country;;49,832934;;8,492376;
Stober, Christian ;;Staffort Wüttemberg;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,091375;;8,510941;
Stollmeyer, Johannes;;Godelau Hessen;1760;;Lutheran;;Married ;;2;;Died in Denmark ;;49,832934;;8,492376;
Stumpf, Melchior;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;2;;Depated from the country;;49,408914;;8,107543;
Ulrich, Johann Valentin;;Bammental Kurpfalz ;1760;;Catholic ;;Not mentioned ;;2;;Depated from the country;;49,352442;;8,777502;
Untzel, Ferdinand;;Not mentioned ;1761;;Not mentioned ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Valter, Johann Peter;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Remained in Denmark ;;49,408914;;8,107543;
Volhard, Johann Nicolay;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;3;;Depated from the country;;49,827757;;8,843913;
Voigt, Johann Michael;;Leutershausen Kurpfalz ;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,297737;;10,408676;
Voigt, Johann Nicolay;;Leutershausen Kurpfalz ;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,297737;;10,408676;
Vuchs, Valentin ;;Altenbach Kurpfalz;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,486626;;8,736902;
Wachershausen, Christopher ;;Ittersbach Kurpfalz;1759;;Lutheran;;Married ;;4;;Remained in Denmark ;;48,867027;;8,506351;
Wagener, Theobald ;;Not mentioned ;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Weber, Georg Conrad;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;2;;Travelpas to Russia ;;49,827757;;8,843913;
Weber, Johann Peter;;Steinau Hessen-Darmstadt ;1760;;Lutheran;;Unmarried ;;0;;Depated from the country;;49,476097;;8,660093;
Weber, Nicolay;;Schönau Kurpfalz;1760;;Lutheran;;Married ;;1;;Depated from the country;;47,608148;;12,981821;
Weber, Philip Christoper ;;Wembach Hessen-Darmstadt;1760;;Lutheran;;Married ;;1;;Depated from the country;;49,827757;;8,843913;
Wegesser, Andreas;;Not mentioned ;1760;;Not mentioned ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Wegesser, Johannes ;;Boxberg Kurpfalz ;1759;;Reformed ;;Married ;;0;;Depated from the country;;49,479935;;9,639320;
Weich, Philip;;Kurpfalz;1761;;Catholic ;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Weingärtner, Johann Philip;;Darmstadt;1761;;Lutheran;;Married ;;0;;Depated from the country;;49,865108;;8,653898;
Weller, Ludwig;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Wendelrisch, Johann;;Hessen-Darmstadt;1761;;Lutheran;;Married ;;2;;Remained in Denmark ;;49,865108;;8,653898;
Wenniche, Gerhard ;;Gravensteen Hessen ;1760;;Reformed ;;Married ;;3;;Depated from the country;;Na;;Na;
Wentz, Johannes ;;Darmstadt;1761;;Lutheran;;Married ;;2;;Depated from the country;;49,865108;;8,653898;
Wentzericht, Adam;;Schriesheim Kurpfalz;1760;;Reformed ;;Not mentioned ;;1;;Depated from the country;;49,476097;;8,660093;
Wentzericht, Ludwig ;;Kurpfalz;1760;;Reformed ;;Married ;;0;;Depated from the country;;49,408914;;8,107543;
Winkler, Sebastian ;;Austria ;1761;;Not mentioned ;;Married ;;0;;Remained in Denmark ;;48,200924;;16,388979;
Würfel, Johann Jacob ;;Brückheuser Hof Kurpfalz;1759;;Reformed ;;Married ;;0;;Depated from the country;;Na;;Na;
Würtz, Johann Hendrich ;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;4;;Remained in Denmark ;;49,476097;;8,660093;
Zahnwalt, Jacob;;Württemberg;1760;;Lutheran;;Not mentioned ;;5;;Travelpas to Russia ;;48,767863;;9,227412;
Zeiserle, Carl ;;Schwetzingen Kurpfalz;1760;;Catholic ;;Not mentioned ;;3;;Depated from the country;;49,383244;;8,571813;
Zimmermann, Johannes ;;Eppelheim Kurpfalz ;1759;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,399838;;8,630517;
Øhlenschläger, Johann Jacob;;Kurpfalz;1760;;Reformed ;;Married ;;2;;Remained in Denmark ;;49,408914;;8,107543;
Øhlenschläger, Theobald ;;Ober Schönmattenweg Kurpfalz;1759;;Reformed ;;Married ;;1;;AWOL;;49,538846;;8,863187;
